 央视-卫视 ,#genre#
Lesbian,http://live.redtraffic.xyz/lesbian.m3u8
Lesbian,http://cdn.redtraffic.net/lesbian.m3u8
Live Cams,http://cdn.redtraffic.net/livecams.m3u8
LiveCams,http://live.redtraffic.xyz/livecams.m3u8
MILF,http://live.redtraffic.xyz/milf.m3u8
MILF,http://cdn.redtraffic.net/milf.m3u8
POV,http://live.redtraffic.xyz/pov.m3u8
POV,http://cdn.redtraffic.net/pov.m3u8
Pornstar,http://live.redtraffic.xyz/pornstar.m3u8
Pornstar,http://cdn.redtraffic.net/pornstar.m3u8
Rough,http://live.redtraffic.xyz/rough.m3u8
Rough,http://cdn.redtraffic.net/rough.m3u8
Russian,http://live.redtraffic.xyz/russian.m3u8
Russian,http://cdn.redtraffic.net/russian.m3u8
Teen,http://live.redtraffic.xyz/teen.m3u8
Teen,http://cdn.redtraffic.net/teen.m3u8
Threesome,http://live.redtraffic.xyz/threesome.m3u8
Threesome,http://cdn.redtraffic.net/threesome.m3u8
Woman,http://cdn.redtraffic.net/woman.m3u8
Woman,http://live.redtraffic.net/woman.m3u8
Young,http://live.mycamtv.com/young.m3u8

-,#genre#
Cinecanal,http://181.78.79.131:8000/play/a0pp
HBO,http://181.78.79.131:8000/play/a0qd
HBO Xtreme HD,http://181.78.79.131:8000/play/a0qy
Space HD,http://181.78.79.131:8000/play/a0q2
UNIVERSAL CHANNEL HD,http://181.78.79.131:8000/play/a0mw
Warner TV HD,http://181.78.79.131:8000/play/a0pz

168需要科学［美］节,#genre#
KissKissCanale,https://58f12ffd2447a.streamlock.net/KKMulti/livestream/playlist.m3u8
KissKissNopoli,https://58f12ffd2447a.streamlock.net/KKTVNapoli/livestream/playlist.m3u8
MDIIabanh,https://hls.avang.live/hls/stream.m3u8
MDIIjoomusic,https://livecdn.live247stream.com/joomusic/tv/playlist.m3u8
MDIImasfm,https://vivo.solumedia.com:19360/masfm/masfm.m3u8
MDIInavahang,https://hls.navahang.live/hls/stream.m3u8
MDIIocko,https://ocko-live-dash.ssl.cdn.cra.cz/cra_live2/ocko.stream.1.smil/playlist.m3u8
MDIIonair,http://web.onair-radio.eu:1935/Alpha-Host/Alpha-Host/playlist.m3u8
MDIItraceurban,https://cdn-apse1-prod.tsv2.amagi.tv/linear/amg01076-lightningintern-traceurban-samsungnz/playlist.m3u8

336个地区,#genre#
「浙江」绍兴新闻综合,http://live.shaoxing.com.cn/video/s10001-sxhb/index.m3u8?zzhed

4GTV豪華套餐,#genre#
新唐人亞太台,https://www.4gtv.tv/channel/4gtv-live050?set=1&ch=223

4K,#genre#
CCTV-16奥林匹克4K,https://live.264788.xyz/channel/cctv164k?streamid=a78e16d1a56172e5525dedde279787a3&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-16奥林匹克4K,https://live.264788.xyz/channel/cctv164k?streamid=e2fed648244b0ba2817187fcba2ca6cb&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-16奥林匹克4K,https://live.264788.xyz/channel/cctv164k?streamid=b8abd3452eecb0e3d19ba6faf2e52d00&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
东方卫视4K,https://live.264788.xyz/channel/dongfangweishi4k?streamid=b8c707e2ca95b85511f6c50c9638128b&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
东方卫视4K,https://live.264788.xyz/channel/dongfangweishi4k?streamid=ac7357572df3296592eeaee3c55edac6&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
山东卫视4K,https://live.264788.xyz/channel/shandongweishi4k?streamid=89b04153333adc0894ea0c2a3527347d&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
山东卫视4K,https://live.264788.xyz/channel/shandongweishi4k?streamid=94f01afe37551c1ea2aa8e32b1d80c9e&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
江苏卫视4K,https://live.264788.xyz/channel/jiangsuweishi4k?streamid=375dbc290331f86f70689c85cd16e1eb&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
江苏卫视4K,https://live.264788.xyz/channel/jiangsuweishi4k?streamid=306fa7c5a3bb1b091331de3a638c01b0&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
浙江卫视4K,https://live.264788.xyz/channel/zhejiangweishi4k?streamid=a5b6e60170ee8c69290def1c2fe00cc8&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
浙江卫视4K,https://live.264788.xyz/channel/zhejiangweishi4k?streamid=664bb2d3ef43cf06ccb52c01a226593d&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
湖南卫视4K,https://live.264788.xyz/channel/hunanweishi4k?streamid=e7f9a38ccce9109f57a4f4e2e2218351&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
湖南卫视4K,https://live.264788.xyz/channel/hunanweishi4k?streamid=1d2cff60e497ead8198445a199d19583&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk

4K超高清,#genre#
欢笑剧场4K,http://wd.shadowzen.xyz/tvphp/cqyx2.php?id=hxjc_4K

4K频道,#genre#
4K60PHLG-HEVC-EAC3测试,https://cdn.jsdelivr.net/gh/feiyang666999/testvideo/hlg4kvideo/playlist.m3u8
4K60PHLG-HEVC-EAC3测试,https://cdn.jsdelivr.net/gh/feiyang666999/testvideo/hlg4kvideo/playlist.m3u8#user-agent=okHttp/Mod-1.1.0
4K60PSDR-H264-AAC测试,https://cdn.jsdelivr.net/gh/feiyang666999/testvideo/sdr4kvideo/playlist.m3u8
4K60PSDR-H264-AAC测试,https://cdn.jsdelivr.net/gh/feiyang666999/testvideo/sdr4kvideo/playlist.m3u8#user-agent=okHttp/Mod-1.1.0
Home 4k,http://cdnx1.plusx.tv:8880/316/mono.m3u8?token=cb776083b1e1b6f9bb2222
广东4K超高清,http://112.92.129.96:9898/hls/138/index.m3u8

74.91.26.218:82,#genre#
CCTV5+体育赛事,http://74.91.26.218:82/live/cctv5p.m3u8
CTS華視新聞资讯1080p,http://74.91.26.218:82/live/ctsnews.m3u8
Now星影台(粤)576p,http://74.91.26.218:82/live/nowxy.m3u8
Now爆谷台576p,http://74.91.26.218:82/live/nowbg.m3u8
公視1080p,http://74.91.26.218:82/live/pts.m3u8
公视台语台1080p,http://74.91.26.218:82/live/ptsty.m3u8
华视HD 1080p,http://74.91.26.218:82/live/cts.m3u8
华视教育体育文化1080p,http://74.91.26.218:82/live/ctsjy.m3u8
台視HD 1080P,http://74.91.26.218:82/live/ttv.m3u8
台视综合HD 1080p,http://74.91.26.218:82/live/ttvzh.m3u8
台视财经HD 1080P,http://74.91.26.218:82/live/ttvcj.m3u8
广东新闻720p,http://74.91.26.218:82/live/gdxw.m3u8
民視新聞台1080p,http://74.91.26.218:82/live/ftvnews.m3u8
民視第一台1080p,http://74.91.26.218:82/live/ftvdy.m3u8
民视1080p,http://74.91.26.218:82/live/ftv.m3u8
民视台湾台1080p,http://74.91.26.218:82/live/ftvtw.m3u8
美亚电影台(粤)576p,http://74.91.26.218:82/live/mydy.m3u8

AEC,#genre#
AEC-10(6am-6pm),http://iptv12k.com:35461/live/test167/12345/709.m3u8#http://iptv12k.com:35461/live/test167/12345/13597.m3u8?WithCaption#http://iptv12k.com:35461/live/test167/12345/4341.m3u8

AKTV,#genre#
松視1台,http://15.204.105.50:25461/live/G2s9zK2n9m/ezvrFwxGfA/88.ts
松視2台,http://15.204.105.50:25461/live/G2s9zK2n9m/ezvrFwxGfA/89.ts
松視3台,http://15.204.105.50:25461/live-G2s9zK2n9m/ezvrFwxGfA/90.ts
潘朵拉完美,http://15.204.105.50:25461/live/G2s9zK2n9m/ezvrFwxGfA/86.ts
翡翠台,http://122.152.202.33/s/81a8a44f/index.m3u8?id=53$IPV4•线路7-0.515
翡翠台,http://122.152.202.33/s/81a8a44f/index.m3u8?id=53$IPV4•线路7-0.483
香蕉台,http://15.204.105.50:25461/live/G2s9zK2n9m/ezvrFwxGfA/87.ts
驚艷,http://15.204.105.50:25461/live/G2s9zK2n9m/ezvrFwxGfA/85.ts

ANIME Radio,#genre#
BlueAnimeIvana - 128 kbit/s,http://streamingp.shoutcast.com/JamendoLounge?lang=*

ASIAN Radio,#genre#
Intamixx Radio - 128 kbit/s,http://intamixx.no-ip.com:8333

Adult,#genre#
A teen with a mature,http://ovhv39.twincdn.com/videos/5/5912/5912_720p.mp4
Adriana Malao,http://ovhv39.twincdn.com/videos/12/12570/12570_720p.mp4
Amateur Teen,http://ovhv39.twincdn.com/videos/6/6858/6858_720p.mp4
Anabela,http://tube.paperstreetcash.com/12mins/rubateen/rubateen_anabela_12minute.mp4
Anal creampie,http://ovhv39.twincdn.com/videos/18/18326/18326_720p.mp4
Anal fucked,http://ovhv40.twincdn.com/videos/1/1167/1167_720p.mp4
Anal taboos,http://ovhv39.twincdn.com/videos/18/18666/18666_720p.mp4
Ass fucked in her room,http://ovhv39.twincdn.com/videos/9/9514/9514_720p.mp4
Badezimmerfick,http://ovhv39.twincdn.com/videos/29/29272/29272_720p.mp4
Blonde Ungarin,http://ovhv39.twincdn.com/videos/8/8630/8630_720p.mp4
Blonde teenie does anal,http://ovhv39.twincdn.com/videos/5/5893/5893_720p.mp4
Brazilian anal experience,http://ovhv40.twincdn.com/videos/prime/00/01/93/70.mp4
Brazilian is penetrated,http://ovhv40.twincdn.com/videos/prime/00/01/89/45.mp4
Brazilian likes firm bell ends,http://ovhv40.twincdn.com/videos/1/1190/1190_720p.mp4
Brazilianische Dreilochstute,http://ovhv39.twincdn.com/videos/35/35651/35651_720p.mp4
Butt sex with young teen,http://ovhv39.twincdn.com/videos/7/7450/7450_720p.mp4
Casting ohne Kondom,http://ovhv39.twincdn.com/videos/6/6837/6837_720p.mp4
Cock in all holes,http://ovhv39.twincdn.com/videos/6/6695/6695_720p.mp4
Cock in their assholes,http://ovhv39.twincdn.com/videos/35/35540/35540_720p.mp4
Cute teenie must squirt,http://ovhv39.twincdn.com/videos/5/5845/5845_720p.mp4
Fuck with a strap-on,http://ovhv39.twincdn.com/videos/4/4557/4557_720p.mp4
Gangbang party,http://ovhv39.twincdn.com/videos/prime/00/01/85/80.mp4
Girls lecken sich die Sahnefotze,http://ovhv39.twincdn.com/videos/6/6857/6857_720p.mp4
Hardcore sex for the black asshole,http://ovhv39.twincdn.com/videos/0/69/69_720p.mp4
He rams his white cock into her black asshole,http://ovhv39.twincdn.com/videos/29/29661/29661_360p.mp4
Hot pussy tattoo,http://ovhv39.twincdn.com/videos/4/4369/4369_720p.mp4
Japanese teen ass has,http://ovhv40.twincdn.com/videos/prime/00/01/89/73.mp4
Licking and doing anal,http://ovhv39.twincdn.com/videos/24/24028/24028_720p.mp4
Rarely seen such hot tits,http://ovhv39.twincdn.com/videos/4/4634/4634_720p.mp4
Russian Teen first anal,http://ovhv39.twincdn.com/videos/prime/00/01/84/44.mp4
Sexy teen is fucked,http://ovhv39.twincdn.com/videos/9/9077/9077_720p.mp4
Strayed teenie,http://ovhv39.twincdn.com/videos/4/4172/4172_720p.mp4
Team Skeet - VOD 01 - Exxtra Small - Rissa Maxxx,http://tube.paperstreetcash.com/8mins/exxxtrasmall/exxxtrasmall_rissa_maxxx_8minutes.mp4
Team Skeet - VOD 02 - Adriana Lynn,http://tube.paperstreetcash.com/12mins/exxxtrasmall/exxxtrasmall_adriana_lynn_12minute.mp4
Team Skeet - VOD 03 - Allison Banks,http://tube.paperstreetcash.com/12mins/exxxtrasmall/exxxtrasmall_allison_banks_12minute.mp4
Team Skeet - VOD 04 - Amanda,http://tube.paperstreetcash.com/8mins/rubateen/rubateen_amanda_8minute.mp4
Team Skeet - VOD 06 - Ariadna,http://tube.paperstreetcash.com/12mins/rubateen/rubateen_ariadna_12minute.mp4
Team Skeet - VOD 07 - Ariana + Gabriella,http://tube.paperstreetcash.com/8mins/exxxtrasmall/exxxtrasmall_ariana_and_gabriella_8minutes.mp4
Team Skeet - VOD 08 - Chichi Medina,http://tube.paperstreetcash.com/8mins/exxxtrasmall/exxxtrasmall_chichi_medina_8minutes.mp4
Team Skeet - VOD 09 - Chloe Foster,http://tube.paperstreetcash.com/8mins/exxxtrasmall/exxxtrasmall_chloe_foster_8minutes.mp4
Team Skeet - VOD 10 - Dakota Skye,http://tube.paperstreetcash.com/12mins/exxxtrasmall/exxxtrasmall_dakota_skye_12minute.mp4
Team Skeet - VOD 11 - Demida,http://tube.paperstreetcash.com/8mins/rubateen/rubateen_demida_8minutes.mp4
Team Skeet - VOD 13 - Gerta,http://tube.paperstreetcash.com/12mins/rubateen/rubateen_gerta_12minute.mp4
Team Skeet - VOD 14 - Irina,http://tube.paperstreetcash.com/12mins/rubateen/rubateen_ilina_12minute.mp4
Team Skeet - VOD 15 - Jane,http://tube.paperstreetcash.com/12mins/rubateen/rubateen_jane_12minute.mp4
Team Skeet - VOD 18- Neona,http://tube.paperstreetcash.com/12mins/rubateen/rubateen_neona_12minute.mp4
Team Skeet - VOD 19 - Sara Luvv,http://tube.paperstreetcash.com/8mins/exxxtrasmall/exxxtrasmall_sara_luvv_8minutes.mp4
Team Skeet - VOD 20 - Sasha,http://tube.paperstreetcash.com/12mins/rubateen/rubateen_sasha_12minute.mp4
Teen offers her asshole,http://ovhv39.twincdn.com/videos/1/1147/1147_720p.mp4
Teen sucks a cock,http://ovhv39.twincdn.com/videos/5/5026/5026_720p.mp4
Teenage asshole,http://ovhv39.twincdn.com/videos/5/5921/5921_720p.mp4
Teengirl ubt Blowjob,http://ovhv39.twincdn.com/videos/8/8870/8870_720p.mp4
Teens anal threesome,http://ovhv39.twincdn.com/videos/8/8502/8502_720p.mp4
Tube - Dusya,http://tube.paperstreetcash.com/12mins/rubateen/rubateen_dusya_12minute.mp4
Two beauties,http://ovhv40.twincdn.com/videos/prime/00/01/94/69.mp4
brazilian booty screams for sex,http://ovhv39.twincdn.com/videos/prime/00/01/82/54.mp4
old for the chubby teen,http://ovhv39.twincdn.com/videos/4/4582/4582_720p.mp4
xxx video 17,https://ovhv47.twincdn.com/videos/16/16149/16149_720p.mp4
xxx video 28,https://ovhv47.twincdn.com/videos/16/16152/16152_720p.mp4
xxx video 55,https://ovhv47.twincdn.com/videos/16/16162/16162_720p.mp4

Adventure,#genre#
BBC Earth US,https://amg00793-bbcstudios-amg00793c3-lg-us-2528.playouts.now.amagi.tv/playlist/amg00793-bbcstudios-bbcearta-lgus/playlist.m3u8
History Hit,https://amg00426-lds-amg00426c2-samsung-th-4625.playouts.now.amagi.tv/playlist.m3u8
Real Wild,https://amg00426-lds-amg00426c1-samsung-th-4628.playouts.now.amagi.tv/playlist.m3u8
River Monstors,https://amg00654-itv-amg00654c12-samsung-th-4582.playouts.now.amagi.tv/playlist.m3u8

Albania,#genre#
=====|AL| Filma Shqip|=====,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/138
AL : HS HOXHË DR. SHEFQET KRASNIQI,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/34208
AL RTV Islam HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/198
AL Tring Kids HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/128
AL Tring Tring HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/127
AL:  Big Brother 1 ᴴᴰ Albania,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/35354
AL:  Big Brother 2 ᴴᴰ Albania,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/35355
AL:  D. Vlad & Niki  ᴴᴰ,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/29810
AL:  On Air Tv,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/29009
AL:  Tatlises Tv,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/29008
AL:  WebStar Aksion HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/8496
AL: 8ova BBF HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/22814
AL: 8ova Dark HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/22804
AL: 8ova Drame HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/13798
AL: 8ova Humor HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/13804
AL: 8ova Komedi HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/13797
AL: 8ova Muzik HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/22813
AL: 8ova Popullore HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/22812
AL: 8ova Thriller HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/13799
AL: 8ova ilahi HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/16555
AL: A2 CNN HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/44
AL: ALSAT M™ ᴴᴰ,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/1236
AL: ALSAT• sᴅ,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/26588
AL: ATV ᴴᴰ 4k+,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/14908
AL: ATV™ ᴴᴰ,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/15012
AL: Abc News FHD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/40
AL: Alsat M ᴴᴰ 4k+,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/8
AL: Apollon TV,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/6959
AL: Art Doku 1 ᴴᴰ,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/28243
AL: Art Doku 2 ᴴᴰ,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/28244
AL: Art Kino 1 ᴴᴰ  VIP,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/29823
AL: Art Kino 2 ᴴᴰ  VIP,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/29825
AL: Art Kino 3 ᴴᴰ  VIP,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/29824
AL: Art Prime ᴴᴰ,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/35358
AL: Arta News FHD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/41
AL: BB 11,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/8907
AL: BB VIP Kosova 1 HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/35282
AL: BB VIP Kosova 2 HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/35283
AL: BBA VIP3 Albania 1 HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/35356
AL: BBA VIP3 Albania 2 HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/35357
AL: BBF Music FHD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/8190
AL: Bang Bang HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/125
AL: Big Brother Kosova 1 FHD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/35296
AL: Big Brother Kosova 2 FHD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/35297
AL: Boomerang HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/133
AL: Cufo HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/126
AL: D  UJQIT HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/26925
AL: D. Diana Shows ᴴᴰ,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/29809
AL: D. Ich Bin Albaner HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/28240
AL: D.Aksion FHD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/25763
AL: D.Balada FHD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/25778
AL: D.Baskia HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/28237
AL: D.Cifteli HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/25779
AL: D.Cka ka SHPIA HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/25776
AL: D.Classic FHD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/25770
AL: D.Family FHD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/25771
AL: D.Fantazi FHD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/25772
AL: D.Fara e Fliqt HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/25777
AL: D.Filma Shqip FHD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/25750
AL: D.GOLD 1 FHD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/25755
AL: D.GOLD 2 FHD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/25756
AL: D.GOLD 3 FHD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/25757
AL: D.GOLD 4 FHD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/25758
AL: D.Hamdiu & Shyretja +16  HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/28238
AL: D.Hitet FHD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/25781
AL: D.Horror FHD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/25767
AL: D.Komedi FHD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/25766
AL: D.Kryetari i mire me shok HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/28236
AL: D.Mixha BiB HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/28234
AL: D.Netflix 1 FHD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/25759
AL: D.Netflix 2 FHD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/25760
AL: D.Netflix 3 FHD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/25761
AL: D.Netflix 4 FHD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/25762
AL: D.PRIME 1 FHD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/25751
AL: D.PRIME 2 FHD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/25752
AL: D.PRIME 3 FHD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/25753
AL: D.PRIME 4 FHD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/25754
AL: D.Romance FHD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/25773
AL: D.Schengen Visa HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/28235
AL: D.Stupcat Skece HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/28239
AL: D.Tallava FHD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/25782
AL: D.Thriller FHD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/25768
AL: D.Western FHD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/25769
AL: DTV ᴴᴰ,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/28182
AL: Diaspora TV HD,http://stream.ks88.eu:8080/diniser792/bGLAg2JnJwMV/87
