#This file is automatically generated by https://freetv.fun and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Entertainment,#genre#
[HD]classica[geo-blocked],https://stream1.freetv.fun/56a49495cd38b5ca42c3a11faafb6bfdfc9fc7b77d16489123777b413a3d3813.m3u8
[BD]stingray classica[geo-blocked],https://stream1.freetv.fun/1077d548885cdd65bff1542d6b693b698e8542981f89033452f9d398bb274b3c.m3u8
[HD]classica[geo-blocked],https://stream1.freetv.fun/d53aa6c33b70d0bda35d0c369ce28be68d903b6a9a9bfe47831b84f703fb677b.m3u8
[BD]california music channel,https://stream1.freetv.fun/506fd0641f3bf5b90058f9d74548a8f553d0c8b97b900e8165fc53cee543e063.m3u8
[HD]cmc california music channel,https://stream1.freetv.fun/3f94ebee705d2e74672d68aa8efe2c6d65e8634bb6090692acc81416fef134dc.m3u8
[HD]vf comedy,https://stream1.freetv.fun/fb94300e2f5b7f3b6f2530e37d57c483c6a8317e4eccb068b3c048bbb605a58b.m3u8
[HD]z! comedy hd,https://stream1.freetv.fun/63f5c7950a663b3b3ada0bce72a72a7f7cf6b55240f5139b8b96e51dcce9236b.m3u8
[HD]fresh comedy,https://stream1.freetv.fun/7888bee931c716775b8289eb0f5203626c19aa789d44a85a4a323faef09c6d8b.m3u8
[HD]kli comedy hd,https://stream1.freetv.fun/fb9c9853e1c20ed7dcd8e822c69c50f7e7ba1d3ddb2d5d294f5910685032a037.m3u8
[HD]comedy movie,https://stream1.freetv.fun/969cef8f3002caee09dd13e185cdf2d35c57d5ebcdce169a16f411880014c52b.ctv
[HD]bcu comedy hd,https://stream1.freetv.fun/2a4d186da5c060cb3a652a9a6e379eb440848a99596354076be286f3f4238de4.m3u8
[HD]ning tv,https://stream1.freetv.fun/3b037c10333ece7c2ef76d3f3d8cf7da247260706540eb908b94b8c54323c81b.m3u8
[HD]ning tv,https://stream1.freetv.fun/21fabdf06d0953d14744b64b8a62725361c33b74f5e0aff3baa9e08512b624ef.m3u8
[HD]jin tv,https://stream1.freetv.fun/898199951dc43c825d0a566b43c165629e90617e2af051467786d2b0ee6bcd17.m3u8
[BD]e! entertairment hd,https://stream1.freetv.fun/26f3b372e9f950416a75c84f4d8e4b042bc60067b3c84865daa941caab92de1e.m3u8
[BD]estrella news,https://stream1.freetv.fun/5abd82e0f6b5352e67b028478735f83106d86c2239f79c602290482479e5a5b4.m3u8
[BD]estrella tv,https://stream1.freetv.fun/5bc0ab35f2b96288081df33bf9b5267cd80ca40762d36782fcc7cc4402c8f401.m3u8
[BD]cine estrella,https://stream1.freetv.fun/e9a0258e97813590bdeb020e8118316ba215282b198749d7f970703d7495fcd1.m3u8
[HD]entella tv,https://stream1.freetv.fun/c9c061e27b0809f2a234296acdf3c3e4e794255f4bc4ebf1e1165cc80ba732fa.m3u8
[HD]estrella news[geo-blocked],https://stream1.freetv.fun/49c5d88e909470ebda8dbab3fbfab53f7e6aad69b7961693e775e9ff2b9f83bc.m3u8
[BD]estrella tv,https://stream1.freetv.fun/0753497ad1c41cc27d870eb27f23eb1aeb2db62f540bb103f0c7a3b2791f05c2.m3u8
[BD]estrella news,https://stream1.freetv.fun/203b2548f205376a24e725089d7a70e9cbde74a18e4d0821fd1341689838cfc7.m3u8
[HD]estrellatv[geo-blocked],https://stream1.freetv.fun/0de5d3676b82c8f15f41264d7eaeaa82d6c71979f8d7cf8f82510f6fd1675261.m3u8
[BD]fashion one[geo-blocked],https://stream1.freetv.fun/7988d83f615f28572f48f183c5ee5977a14f927b8f4068b20c13e6e71a541b10.m3u8
[HD]fashion one,https://stream1.freetv.fun/1ac9f22c2f0607d39083d590e7c56028ca23de1c6d1961cbbf421d1e54d3a69a.m3u8
[BD]lfm tv,https://stream1.freetv.fun/102adbd265ded0ab167fb16a7a419337a9e4af0a8626f6c2d282367a85e05d96.m3u8
[BD]ginx,https://stream1.freetv.fun/2b9bf0c37fbb424a08b13455d6ba45f32c9564d0686c36b331b7960a6bcea985.ctv
[HD]lifetime,https://stream1.freetv.fun/dceaf27f14303d87418eaf1569a95635dba8dd2182bd0582c51f7a4d8dcf62aa.m3u8
[HD]ช่อง lifetime,https://stream1.freetv.fun/368d8371137bcd7d2b00399ec6c3b432df847cae546c9d249ff51427a94c4676.m3u8
[HD]oxygen east,https://stream1.freetv.fun/368e02cea0936b0c695b0265c8fa75b0fbfd9823cee3be7e9fb0c83dbbb3e6b5.m3u8
[HD]oxygen tv,https://stream1.freetv.fun/ba90c8cc282bf9771f5c31f12c3946de3f72f3ef5f5e10dd60541806d846ed76.m3u8
[BD]positiv,https://stream1.freetv.fun/aa04cd320d6c981fccb0831e193c41fa8aa3256a391c801a788d36444225f02f.m3u8
[SD][美国]the 360 channel,https://stream1.freetv.fun/49ceb4c6abc9f49861c2a9c4996f1f6071ea414930b3f92ed4d5a18d46904f5a.m3u8
[SD][美国]the 360 channel,https://stream1.freetv.fun/35ae3e75dda6300732058a0848de456cd528e97a1e139bc65999678da1f1b61d.m3u8
[SD]the 360 channel,https://stream1.freetv.fun/47fdce87139ddc63198443f17434cea26431037889c1e4c1866db328eb4cd192.m3u8
[HD]univision,https://stream1.freetv.fun/b4218446b6a7e62b49a516f90141ea9b665ea785207cf0e9b52c76128229a5df.m3u8
[SD]usa network[geo-blocked],https://stream1.freetv.fun/1a8131da4570b206bda37522fd9acbee3d619db6c747961043c71fef0035b46b.m3u8
[HD]a21 network,https://stream1.freetv.fun/4cd5c354a36c025031ae6e7c3192c9d64c673b242454118561dbe6f0b257f96d.m3u8
[HD]acc network,https://stream1.freetv.fun/cef5d535e0480c134cfafdfdce1f660c409bcf11ad231a41c70f72a703578972.ctv
[SD]usa network[geo-blocked],https://stream1.freetv.fun/8ed6eca09d78b1c3f8655609005387908267a64598479df9944eba331c828617.m3u8
[HD]vevo íconos latinos[geo-blocked],https://stream1.freetv.fun/2dc8d8e95b6e6c493b1f01245c932de35d94a7b77e3db713712068f67228454e.m3u8
[HD]vevo regional mexicano[geo-blocked],https://stream1.freetv.fun/5ae584f1b56335297362633f837d9026418553a6d0b975f982eb01f571594c4b.m3u8
[HD]vevo íconos latinos[geo-blocked],https://stream1.freetv.fun/d79af33ad45c6224b9e38b5223d16bb4db014522cb07d9412f7e895304287492.m3u8
[HD]vevo retro rock[geo-blocked],https://stream1.freetv.fun/5711bdac5ce5daa5cd8da5acb17af4c5967333d2315fdb974b3c9a726578c177.m3u8
[HD]vevo true school hip-hop[geo-blocked],https://stream1.freetv.fun/ae5602497e37c38f3a1bab4956800d8efe2d62c3c0d74eef932f07f7768c5c05.m3u8
[HD]vevo country[geo-blocked],https://stream1.freetv.fun/c517c6e99a85899a78b5c11203f31e43424ead0588e3b2fc6df7d380b5a915ad.m3u8
[HD]vevo '80s[geo-blocked],https://stream1.freetv.fun/e35865c235def05863e06cfa320d0dddc4d173e9eddd18e1a0a8df64fd45eb6d.m3u8
[HD]vevo '70s[geo-blocked],https://stream1.freetv.fun/452b8269941142ff027c21a0223244c8bf6906d8ea4ae5adab421acc63319d3e.m3u8
[HD]vevo '90s[geo-blocked],https://stream1.freetv.fun/b140e103fb56160690d1657d10f5ee37d957dd662b3245a9238562e3bfd84e39.m3u8
[BD]vevo hip-hop et rnb,https://stream1.freetv.fun/6753fc20f7373268620cd300eb6e2132579ad9a7d8f62aea3c162e2a9d159746.m3u8
[BD]vevo,https://stream1.freetv.fun/d1a4280fb3730208465c44a6a7304618377acaf7110dbb7ca6be3de066600328.m3u8
[HD]vevo country[geo-blocked],https://stream1.freetv.fun/5692079f3d2ebaeedb01c99ef2d2deda72a9ee3282285b3288eacbc7d6cf512d.m3u8
[BD]vevo pop,https://stream1.freetv.fun/a8af204d381e854e749c065e6ebd5d2e71b939992fd4c6a719ec59e26fb9f883.m3u8
[HD]vevo 2k[geo-blocked],https://stream1.freetv.fun/03088caaba4abe1d73c3053ec0024302c1f6db73a598b061c54d432751a8ca42.m3u8
[HD]vevo pop[geo-blocked],https://stream1.freetv.fun/43c0a497fe332d4730f63387d0bcdffca96a9c9e9e4dbbd90591245e74829eaf.m3u8
[HD]vevo pop[geo-blocked],https://stream1.freetv.fun/7b59877e2bdc7e77d0b6ce7bfc08734bb52c88e1fae010f93bd63be3e71fdd4c.m3u8
[HD]vevo country[geo-blocked],https://stream1.freetv.fun/4f8ef4ac72fdbc236cc96afd2c3decc64497a48273dae26728c1a635561f2a30.m3u8
[HD]vevo '70s[geo-blocked],https://stream1.freetv.fun/fc119927cce627aa6f9a1ca65e0df75d139f5c962a4c4d725d5653f98d9a3d77.m3u8
[HD]vevo r&b[geo-blocked],https://stream1.freetv.fun/fc09b127a23bb750295cbed8f2396cfbc50b0109151d43b56fc618beaadb1eec.m3u8
[HD]vevo reggaetón & trap[geo-blocked],https://stream1.freetv.fun/4fdd1199f947b7a07050bd7e596abecd518259f8da8c12958431e23e027af305.m3u8
[HD]vevo latino[geo-blocked],https://stream1.freetv.fun/1543deebdaeebaf1d4b2836dda246d7b49edc58d1c112bcd2ab08ebccc86f745.m3u8
[HD]vevo 90's[geo-blocked],https://stream1.freetv.fun/9096621fb3c9250b35dc70a2da0514b86d519b8b751b0bd5095a7eb9b0ef55ac.m3u8
[HD]vevo r&b[geo-blocked],https://stream1.freetv.fun/6f024d0cefbbc2cafa5345e897501493a8dee3a5577ffec5ec3c2d74f4fca1f8.m3u8
[HD]vevo latino[geo-blocked],https://stream1.freetv.fun/af417381188d7f6d743e93d9caa7c18bf65e19acc357bf3164e602c8ec21cfd8.m3u8
[HD]vevo pop[geo-blocked],https://stream1.freetv.fun/02efff16f383f6d2fbd9143ea3a55fb57e00e68d45bcef62b254545510682faf.m3u8
[HD]vevo 2k[geo-blocked],https://stream1.freetv.fun/46969aa9f295e1105c09f725cf7bea87adce888717181f382d80316b4e78133c.m3u8
[HD]vevo 2k[geo-blocked],https://stream1.freetv.fun/33346b737bb3b9a93a22b2f7aee621fe26415b7d2312e4fd129b3a0a1e3f6b0d.m3u8
[SD]vh-1[geo-blocked],https://stream1.freetv.fun/67dad4ed3b8ece6d0bb0fd85c37ed6d9615a427dd48ac3a6132b3b079b7d2cc7.m3u8
[BD]swr 3 visual radio (720p),https://stream1.freetv.fun/68db7842909f3ae10e14cb0ad22ad3ecd4d5a36bc506a763e5a809164dc453fe.m3u8
[BD]swr 3 visual radio,https://stream1.freetv.fun/38d448cbdc1ccd0a1251012c50fd2e834cd753f78b76181edd2414546c9748c6.m3u8
[BD]we tv,https://stream1.freetv.fun/2c081ab53f6face92c74deaf2db610e54132988d20a1416210110c9f1590fbcc.ctv
[SD]we tv[geo-blocked],https://stream1.freetv.fun/d3b8f49e7ea8bdfb1baf664cff53ca1bd5481c84babf81ebba4edfa0a21216b9.m3u8
[HD]wild 'n out[geo-blocked],https://stream1.freetv.fun/e7e7652d293b746926d18357cf094d94d6ef36789fe21a50676795885cc07d6d.m3u8
Generic,#genre#
[BD]curiosity channel,https://stream1.freetv.fun/aa24f843ad8b4cc0e7e80ecc200b1d8cd01277f28194879bca590219cf639c24.m3u8
[BD]a e,https://stream1.freetv.fun/e702c5979f2d11765707bc1fbd4fb24bb8231dcf5f4b107cab3a94b529134dd4.m3u8
[VGA]a&e hd,https://stream1.freetv.fun/cac63b0ff568f24debaf157c7cd1730c03b57b8da23a71d6e09ef00b4a934686.m3u8
[VGA]tvs flashback network,https://stream1.freetv.fun/f9bc8ffbf32f26b4931202f84c885eeaa785b91a8f9c825854201649fa723361.m3u8
[VGA]tvs talk network,https://stream1.freetv.fun/4cbbb4cbb66e4a4398718331c305edafb02a1fe01cab4c39541b5c08645a015b.m3u8
[SD]catch on2[geo-blocked],https://stream1.freetv.fun/65d757eb1779fa55fed740d6b9365b23f321a7e2d4369ea1b3292288363af2ce.m3u8
[SD]catch on1[geo-blocked],https://stream1.freetv.fun/5eec7fa912056abfdb8e1d5531fc7ae19bd2cdf7572fcdd82e139ba90bf93e2b.m3u8
[HD]fontana community television (720p) [geo-blocked][geo-blocked],https://stream1.freetv.fun/67a25b931147ee1c6c45842baf055d513b6632b9715c2ffe72ff9b272c54ad83.m3u8
[BD]ptl television network,https://stream1.freetv.fun/37b1ca13972dc6d9cbcd18f10b8f85c14a655ebca44a2cf5a6221503f226ca5d.m3u8
[VGA]ben television,https://stream1.freetv.fun/a69ddb3b711c5fc1553f4f445b4099ca08eec7c0f23c870ec3f1d55dc2f8a30f.m3u8
[SD]ben television (576p),https://stream1.freetv.fun/28e3ead69bd11f275942f5339882da7ba22c53da6b75bfe7672bfb1723577b29.m3u8
[HD]newport beach television (720p),https://stream1.freetv.fun/e43f2016b312d4b9264bc9b4558876d02302174c500fc3635ce4b9b9b7ea2f13.m3u8
[HD]beverly hills television 35 (720p),https://stream1.freetv.fun/8e434952b6a8493b509dd9acd21c65340ad750a5b079ee0300538140a768d868.m3u8
[HD]kern county television,https://stream1.freetv.fun/ca0a59b81fa789dd10f55d172a404db5138f5ab59278dbee2e09330d1aea495c.m3u8
[HD]fontana community television (720p) [geo-blocked][geo-blocked],https://stream1.freetv.fun/6cb0176c0f628385bd7cfe4e90543861c41cb646f16deb3d4935e40b587ad5cc.m3u8
[HD]irvine community television (720p),https://stream1.freetv.fun/e25f31f738f5d2864970879c3823bfcec966f4d54613df2ee44c4d8513ee5eb0.m3u8
[BD]ptl television network (1080p),https://stream1.freetv.fun/5c96b34ae6daae7dcee93594cb7005fb6bb70a27850b3f5b0a5618849194e3e6.m3u8
[HD]qatar television,https://stream1.freetv.fun/09682970bcb8bee42a0d1a2cfa06d3ead5af5814d0f85bc1115de224add966c3.m3u8
[SD]retro music television,https://stream1.freetv.fun/d182eb82cb6038a4a827205ba79636eb146479e1d7552e7a859235465d7d4026.m3u8
[BD]irvine community television,https://stream1.freetv.fun/7b73845e2c7ba3dba7b8b9f064e2f8a86ea95f4a0f36bfd6dcc2e6ddb7bad751.m3u8
[BD]kern county television,https://stream1.freetv.fun/e01665e8c62d4341f19175aeb3c624ec888aae133d0ed966593168873890aad1.m3u8
[BD]newport beach television,https://stream1.freetv.fun/5a4f920a6b54003e523851a4b80316219db8f29d558243cb79ddb05aae334779.m3u8
[HD]wmbc digital television,https://stream1.freetv.fun/45ce26c619ccbb3e1f28376ccf11d5de0be0943073cb1a89d813950942dee6ce.m3u8
[HD]buena park television,https://stream1.freetv.fun/874d182785eaaff57a8be2e1bafec48b9c6ee55f2ad25004b021d91bb8bc52c2.m3u8
[BD]new canaan television 79,https://stream1.freetv.fun/b7b4a5af881e5191df5e7bd3e2a24bb1e0359c4fb3865acf542777049b423147.m3u8
[HD]coral gables television,https://stream1.freetv.fun/2826d027dca3bac7ef0e512acfdfb221fedd9aa6eb93bb510f0d8670b101398b.m3u8
[SD]retro music television,https://stream1.freetv.fun/a9271b18977adc0f272bd2480f192df9e7a7345b9a81fa43a2c4d0cf1eba4ec1.m3u8
[SD]retro music television ⓢ,https://stream1.freetv.fun/4b0713ad220ef9ddc69c551489093cb4c7710ea53848fd1400c5d33bb2067672.m3u8
[HD]gi television,https://stream1.freetv.fun/04a19f1c49bf5940a9ffb887b219fde6b731df7734be831cbd0abf1e0d2eddff.m3u8
[HD]beverly hills television 35 (720p),https://stream1.freetv.fun/56a38382a51f9bb616de030ca9e5ecc8cda7b14bd9c2c8c11840096c45d9e348.m3u8
[SD]11 cs,https://stream1.freetv.fun/c7c65ba7d72b617fb8d2e715add7b5212ead5a38f9ea25e076de15b0eb039fd3.m3u8
[SD]11 bs,https://stream1.freetv.fun/ca43d40001753368b2e25521a5f35044564e378958e340281b7f4478587cadeb.m3u8
[HD]cbs new york,https://stream1.freetv.fun/82be7c66af6d84c99d81a111c8dd899d847b2079f91f41e43707d4f0eb064620.m3u8
[HD]yes network,https://stream1.freetv.fun/28249eae8bddd41a4d696ed4a4019f251c93d23f4a80b53c74e0ebe2bd9062bd.ctv
[HD]sec network,https://stream1.freetv.fun/8d36f2a5b8b0e632d4976ccd50bfe15eb830954bf72a4effb162d53dba96a889.ctv
[HD]mlb network,https://stream1.freetv.fun/1beca7085710193715b3c4293651ec95cb6668a5ec83594be8959ff3d8c4d6b2.ctv
[HD]acc network,https://stream1.freetv.fun/0360423dc0be5ace46c75794f1da9fdf2b6dbbb15ca528f65c08897b2f4c5243.ctv
[HD]mlb network,https://stream1.freetv.fun/eda5e3cad81f18904ecf7279533d0d14754a939c00da69f2290debf85098e5f6.ctv
[BD]cbc news network,https://stream1.freetv.fun/f89e72d4dea37e43c8ac615c495804fb60a674a3b0472da2df455d54e719282d.m3u8
[HD]cbs sports network usa,https://stream1.freetv.fun/217365fe0f0645e42819663a2af6d66754ee1b488f8311e0402e527f9b11928b.m3u8
[HD]acc network,https://stream1.freetv.fun/b66f38e9e8b2b8964ce39eb9bc34de567cacfded1b915ac502ba933ec44e3340.m3u8
[HD]yes network,https://stream1.freetv.fun/4a3bb55c8321184fa6fd6685efa2f4f8159c0c18d3d9745e240993c1c5b7f80c.m3u8
[HD]mlb network[geo-blocked],https://stream1.freetv.fun/de1313e94d41ce1943d9a9d8cd24f968cf340cde4f3fed0e03f7a35c42d17338.m3u8
[HD]bcu reality hd,https://stream1.freetv.fun/f0a0781a10e6f252d47624986b9087b53f3ef3517d345a0ab5f60a13b7231c60.m3u8
[BD]cctv,https://stream1.freetv.fun/1651d85d54321283c7fd12227bc7e4ff1bae84b3eb5415d52f640a20b1d00a2f.m3u8
[BD]cctv,https://stream1.freetv.fun/5f041a9768ced153a1698a4fb889706713eb157a772f50680a7d77897d8f9257.m3u8
[SD]cctv,https://stream1.freetv.fun/017fdbc37d4b7328e189a17d3a8a2978aaa9b3ca2363db39f94b01761f64a16a.m3u8
[BD]cctv,https://stream1.freetv.fun/5497c03b9528d7287a2cba01365d7b7618ec92c4992a9cc7a22b22a51169a253.m3u8
[SD]cctv,https://stream1.freetv.fun/1a9d6cb3904e412a7315080ffbf3ee38c4261c76b65aa72c8b8957a6de70523b.m3u8
[BD]cctv,https://stream1.freetv.fun/47e9306277ca2b3c199966ff5fcac26209c430f2b9c2a2ad1b1da811d14dffc7.m3u8
[BD]cctv,https://stream1.freetv.fun/00b4a2aceadcf25d1cf8607c4870ae04b1c308e1718cccbe2bca2ec54869fd78.m3u8
[BD]cctv,https://stream1.freetv.fun/25cb9f9a45461f8112a4458135ad5b1131f0cab8c49dd1fe190c23dde15fc472.ctv
[HD]cw,https://stream1.freetv.fun/bafe651ef076d0d9d16e55f43bfc635184c20eba38eecd2fe7fe9e3bb22e4e03.m3u8
[VGA]us cw,https://stream1.freetv.fun/fe2bef58b4475bb4266dfd2f79bbfdfca10ac88ed460bdf02783db695639fa0c.ctv
[BD]cw[geo-blocked],https://stream1.freetv.fun/870adb470a2254d504957bd52b46e0d0dadfa1a10b60df9d5b2a2f9e361115f6.m3u8
[HD]cw[geo-blocked],https://stream1.freetv.fun/1807acb8fd03e203e069c1acbf8e1b5a584b7d67f160a4073c32eb7430fabb96.m3u8
[HD]fox 13 seattle wa,https://stream1.freetv.fun/239c59c5718d936a4cb6acfacf91e679cb07d405bf4a0ecfb011202e723ce2e2.m3u8
[HD]hmong tv network,https://stream1.freetv.fun/bb231942106591d1898f74afda0f8ae2199af6c4b001f014e0de717255d6618a.m3u8
[HD]hsn2,https://stream1.freetv.fun/8916d95cd3fb57bb5cb547ddbc035bf135c397da0071cbe51ac3167cbc025a57.m3u8
[HD]hsn2,https://stream1.freetv.fun/7d4667b8a2a447040dd52ca18dde54141b61e9581bd7cf6539a587b1729345e1.m3u8
[HD]xy max hd,https://stream1.freetv.fun/7869e41402427320ac8cf828c2ad2ffe516e9e972a24e5cce8282303e729c137.m3u8
[HD]tv max,https://stream1.freetv.fun/dced7ccdfdd93ad0cfa865977d76e816f63397d62fab04e86bc13db49560f819.m3u8
[HD]d max,https://stream1.freetv.fun/a98b389d0e4a148cecd869c8e85c2905cffad302154c7b82355d80bc69f95918.m3u8
[HD]nbc2[geo-blocked],https://stream1.freetv.fun/8094775605f7516b311eee2e09bede3b09f7504e20cdd9c96e0f97a9f41ab977.ctv
[VGA]tvg 2 network,https://stream1.freetv.fun/e3bb5e6130efd3eca3ba131180388d52c54f06094580dd5098c36a42e536f34a.ctv
[HD]hmong tv network,https://stream1.freetv.fun/721b2338d2bcdab4719af0df79e2e2bde35524f2909d8e2a048a14d2309c8d52.m3u8
[BD]paramount,https://stream1.freetv.fun/6378a35cc4034e94bd910c5db3c9c40292e77643b1cd3d5fd9de1f76bb45359d.m3u8
[HD]paramount,https://stream1.freetv.fun/5dbfa351d0af7f63a0dc2def23fe4b73ad7fb43396826ceb7f4060d5806eb149.m3u8
[HD]paramount network,https://stream1.freetv.fun/028417d92d85c279f9d87155c477a0274cefda4c9d5e55c3431eac249193032f.m3u8
[BD]paramount hd,https://stream1.freetv.fun/b51c38e08b7e0cdbcb06e48e7eaccb1a6ad1a2f7a96c114ea9cba6c5a2ab6a8c.m3u8
[HD]paramount network east,https://stream1.freetv.fun/340fc502888502a3cdc69eacda13e374ba8b32d7c72ca2ad77050c0a78d14da7.m3u8
[SD]tbn[geo-blocked],https://stream1.freetv.fun/4a28093fe8ab95dffa66abe79a8c17ac50a61421a4547b47e477df9cd8849927.m3u8
[HD]tbn[geo-blocked],https://stream1.freetv.fun/c55e67951cc111f77228a8c3f7d0b3232051c531f4a94a215778ccf561b627c2.m3u8
[HD]tsn 2,https://stream1.freetv.fun/12cad28fcea158d795292a66ec8d2c4fe656d43e1f5962c6ecdc87326ea66bbf.ctv
[HD]tsn 4,https://stream1.freetv.fun/3e915763980abb5166c2f7ed244f775cfe5d4a7ad823fcbbf09c19fa1954003e.ctv
[HD]ช่อง the design network,https://stream1.freetv.fun/98a2a92ae1c2bf54f563a641e3a85772725f3ef3ecab356eaa43af8b8a626da6.m3u8
[BD]the word network[geo-blocked],https://stream1.freetv.fun/ddc0370c98ea8bf0ddbe3453e66bfd16c6a72c273810c3676b1615bb909a523a.m3u8
[SD]the weather network[geo-blocked],https://stream1.freetv.fun/0e9d03ebc2dd302437946499eae1246d1e22f177ef30403aa7fd1b80bad74af9.m3u8
[HD]the weather network[geo-blocked],https://stream1.freetv.fun/1a0be84fc59ad58324be3e4a2f6b29d3e43f9c03fec22598bf931dfb1c60e029.m3u8
[BD]the weather network elements,https://stream1.freetv.fun/2bb9a52bf451a8a214a032b5114f82e86337fbd38ca073491fd83c2b01963acc.m3u8
[BD]the grappling network[geo-blocked],https://stream1.freetv.fun/a66bcd1a2baf82b713950155e51ffbd547c360d34c8e20a9d36e58ae6c75f573.m3u8
[BD]univers tv (720p),https://stream1.freetv.fun/4fdf433a708bc24152509370ec3a05b035e1943f1e3c3e0980fb7a24f7c88e10.m3u8
[BD]universal cinema este hd,https://stream1.freetv.fun/7160422782d96941371c86f9ee7353e19ba01819f236c9c78e68aca7832c791e.m3u8
[HD]universal tv,https://stream1.freetv.fun/13f487d15b7ed183dcae61edf54f29b429e9d1aa2f2efbebc229d42d65534b09.m3u8
[HD]univers tv,https://stream1.freetv.fun/5374a1d73afe7e1c9743e7cb6babb219464a982147e77f23dc686c9f0f10ad92.m3u8
[HD]unimás,https://stream1.freetv.fun/9180167d5cc01e6a44ef9659d97c5ede1795c806e9ec7089bc58d9945500159e.m3u8
[BD]华语电视3,https://stream1.freetv.fun/297343ede7f7568db6c257e23e4878d1d2074e19de5944509cd86788d1e2b489.m3u8
[BD]华语电视3,https://stream1.freetv.fun/06d5469399ca59c718c7106a229f5cfef09fcc099a263d39093bade701c35001.m3u8
[BD]华语电视,https://stream1.freetv.fun/bde622b3cd991c1b979968e54cb55b9c71be4b7c02b8e47928dab224b168f48a.m3u8
[BD]华语电视,https://stream1.freetv.fun/3cb613c17265d931f50bc819df25ac864a346f854e60df9ab930c54f5d24d02b.m3u8
[VGA]華語電視3,https://stream1.freetv.fun/f9e42adc79e4a9bdae8cb0e53a84ee5015e5c9d9caff8f1f157880efadebe1e9.m3u8
[BD]华语电视3,https://stream1.freetv.fun/353082a76519c026043f3911199f07e25f3c51e7ace07e1b37312dbe35ffb4ab.m3u8
[BD]华语电视3台,https://stream1.freetv.fun/30c8c6978bd1c8b87bdbe1dfd0409619a722d592c744e606b5ff13dc144d1dc5.m3u8
Kids,#genre#
[SD]american pickers[geo-blocked],https://stream1.freetv.fun/b01aac1ed203524bcf68b3960bf30072bef600abd982affbe9e4ec431d3ab63c.m3u8
